"fyear","act","at","bkvlps","ceq","csho","dltt","emp","lct","ni","oibdp","rdip","sale","xad","xsga","prcc_f","busdesc","conml","gsubind","sic"
"79",2018,1110.3,3570.5,4.0678,798.5,196.3,1328.7,63,890.7,-39.7,480.8,0,6578.3,265.1,3310.9,3.68,"Ascena Retail Group, Inc., through its subsidiaries, operates as a specialty retailer of apparel for women and tween girls in the United States, Canada, and Puerto Rico. The company operates through four segments: Premium Fashion, Plus Fashion, Kids Fashion, and Value Fashion.","Ascena Retail Group Inc",25504010,5621
"80",2019,1155,2699.8,0.7607,151,198.5,1338.6,53,798.2,-661.4,183,0,5493.4,265.1,2878.3,0.4442,"Ascena Retail Group, Inc., through its subsidiaries, operates as a specialty retailer of apparel for women and tween girls in the United States, Canada, and Puerto Rico. The company operates through four segments: Premium Fashion, Plus Fashion, Kids Fashion, and Value Fashion.","Ascena Retail Group Inc",25504010,5621
"81",2020,1091.2,2334.1,-98.5625,-994.2,10.087,0.8,35,600,-1141.8,-365,0,3718.1,177.7,2246.9,0.719,"Ascena Retail Group, Inc., through its subsidiaries, operates as a specialty retailer of apparel for women and tween girls in the United States, Canada, and Puerto Rico. The company operates through four segments: Premium Fashion, Plus Fashion, Kids Fashion, and Value Fashion.","Ascena Retail Group Inc",25504010,5621
"82",2010,169.45,212.711,27.1455,104.293,3.842,56.955,3.46,45.787,-4.635,7.476,0,465.199,9.7,135.497,13.28,"On July 22, 2015, ALCO Stores, Inc. went out of business as per its Chapter 11 liquidation filing under bankruptcy. ALCO Stores, Inc. operates as a regional broad line retailer in the central United States.","ALCO Stores Inc",25503020,5331
"83",2011,178.817,220.405,27.1767,104.44,3.843,64.867,3.7,44.533,1.655,13.223,0,482.767,11.2,132.957,8.32,"On July 22, 2015, ALCO Stores, Inc. went out of business as per its Chapter 11 liquidation filing under bankruptcy. ALCO Stores, Inc. operates as a regional broad line retailer in the central United States.","ALCO Stores Inc",25503020,5331
"84",2012,190.434,243.875,31.3576,102.163,3.258,79.382,3.4,56.815,1.307,14.617,0,492.595,12,134.746,8.15,"On July 22, 2015, ALCO Stores, Inc. went out of business as per its Chapter 11 liquidation filing under bankruptcy. ALCO Stores, Inc. operates as a regional broad line retailer in the central United States.","ALCO Stores Inc",25503020,5331
"85",2013,181.597,235.093,23.3708,76.142,3.258,107.885,3.3,46.019,-26.425,-1.748,0,474.052,11.1,137.529,9.09,"On July 22, 2015, ALCO Stores, Inc. went out of business as per its Chapter 11 liquidation filing under bankruptcy. ALCO Stores, Inc. operates as a regional broad line retailer in the central United States.","ALCO Stores Inc",25503020,5331
"86",2010,704.8,1020.6,24.0073,614.3,25.588,0,21.453,286,93.1,214.3,0,2079,72.9,826.3,60.33,"Jo-Ann Stores, LLC operates as a specialty retailer of sewing, and arts and crafts category products in the United States.","Jo-Ann Stores Inc.",25504040,5940
"87",2011,1533.844,2996.205,9.2633,1087.074,117.353,532.37,52,1017.055,388.445,817.572,0,8547.835,17.1,2214.723,53.39,"Family Dollar Stores, Inc. operates a chain of general merchandise retail discount stores primarily for low- and middle-income consumers in the United States.","Family Dollar Stores Inc.",25503020,5331
"88",2012,1768.17,3373.065,11.2483,1297.627,115.362,516.32,55,1065.657,422.24,904.101,0,9331.005,19.6,2355.846,63.64,"Family Dollar Stores, Inc. operates a chain of general merchandise retail discount stores primarily for low- and middle-income consumers in the United States.","Family Dollar Stores Inc.",25503020,5331
"89",2013,1857.005,3709.861,13.8937,1599.055,115.092,500.275,58,1080.222,443.575,921.904,0,10391.457,18.9,2627.888,71.19,"Family Dollar Stores, Inc. operates a chain of general merchandise retail discount stores primarily for low- and middle-income consumers in the United States.","Family Dollar Stores Inc.",25503020,5331
"90",2014,2102.046,3857.295,14.6134,1665.725,113.986,484.226,60,1129.03,284.503,786.296,0,10489.33,7.8,2756.919,79.83,"Family Dollar Stores, Inc. operates a chain of general merchandise retail discount stores primarily for low- and middle-income consumers in the United States.","Family Dollar Stores Inc.",25503020,5331
"91",2010,6899,20631,13.0628,5530,423.341,6971,166,5065,847,3062,0,25003,1072,7117,23.15,"Macy's, Inc., an omnichannel retail organization, operates stores, websites, and mobile applications under the Macy's, Bloomingdale's, and bluemercury brands.","Macy's Inc",25503010,5311
"92",2011,8777,22095,14.3247,5933,414.181,6655,171,6263,1256,3464,0,26405,1136,7203,33.69,"Macy's, Inc., an omnichannel retail organization, operates stores, websites, and mobile applications under the Macy's, Bloomingdale's, and bluemercury brands.","Macy's Inc",25503010,5311
"93",2012,7876,20991,15.6074,6051,387.701,6806,175.7,5075,1335,3714,0,27686,1181,7434,39.51,"Macy's, Inc., an omnichannel retail organization, operates stores, websites, and mobile applications under the Macy's, Bloomingdale's, and bluemercury brands.","Macy's Inc",25503010,5311
"94",2013,8688,21634,17.1236,6249,364.935,6728,172.5,5726,1486,3737,0,27931,1166,7469,53.2,"Macy's, Inc., an omnichannel retail organization, operates stores, websites, and mobile applications under the Macy's, Bloomingdale's, and bluemercury brands.","Macy's Inc",25503010,5311
"95",2014,8679,21461,15.791,5378,340.574,7265,166.9,5536,1526,3869,0,28105,1177,7373,63.88,"Macy's, Inc., an omnichannel retail organization, operates stores, websites, and mobile applications under the Macy's, Bloomingdale's, and bluemercury brands.","Macy's Inc",25503010,5311
"96",2015,7652,20576,13.6984,4250,310.256,6995,157.9,5728,1072,3100,0,27079,1173,7483,40.41,"Macy's, Inc., an omnichannel retail organization, operates stores, websites, and mobile applications under the Macy's, Bloomingdale's, and bluemercury brands.","Macy's Inc",25503010,5311
"97",2016,7626,19851,14.2174,4323,304.063,6562,148.3,5647,619,2373,0,25778,1153,7784,29.54,"Macy's, Inc., an omnichannel retail organization, operates stores, websites, and mobile applications under the Macy's, Bloomingdale's, and bluemercury brands.","Macy's Inc",25503010,5311
